user_id,chapter_id,name,current_level,status_chapter,avg_score,total_attempts,total_subchapters_done,total_subchapter
S7271,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S0861,CT00005,Kesebangunan,intermediate,in-progress,69.65,2.5,0.0,3.0
S5391,CT00004,Bentuk Aljabar,intermediate,not started,0.0,0.0,0.0,3.0
S5192,CT00001,Bilangan Bulat,advanced,done,60.01,3.6,3.0,3.0
S5735,CT00001,Bilangan Bulat,intermediate,not started,0.0,0.0,0.0,3.0
S6266,CT00005,Kesebangunan,advanced,in-progress,65.41,3.0,2.0,3.0
S0467,CT00004,Bentuk Aljabar,intermediate,done,72.33,1.0,3.0,3.0
S4427,CT00004,Bentuk Aljabar,beginner,not started,0.0,0.0,0.0,3.0
S5579,CT00002,Bilangan Rasional,advanced,in-progress,41.16,2.1,2.0,3.0
S8323,CT00006,Data dan Diagram,beginner,in-progress,65.79,2.1,0.0,6.0
S1686,CT00003,Rasio,advanced,done,73.6,3.7,3.0,3.0
S0770,CT00005,Kesebangunan,intermediate,in-progress,39.41,1.7,0.0,3.0
S6950,CT00003,Rasio,intermediate,in-progress,40.85,1.6,2.0,3.0
S2434,CT00003,Rasio,intermediate,done,66.68,7.7,3.0,3.0
S5312,CT00005,Kesebangunan,beginner,in-progress,73.81,1.4,1.0,3.0
S5052,CT00004,Bentuk Aljabar,beginner,in-progress,65.58,1.7,2.0,3.0
S6421,CT00005,Kesebangunan,advanced,not started,0.0,0.0,0.0,3.0
S1185,CT00003,Rasio,advanced,done,88.18,3.4,3.0,3.0
S4556,CT00006,Data dan Diagram,intermediate,done,71.79,4.9,6.0,6.0
S3386,CT00006,Data dan Diagram,advanced,done,89.06,4.4,6.0,6.0
S6397,CT00006,Data dan Diagram,advanced,done,71.99,4.9,6.0,6.0
S8667,CT00004,Bentuk Aljabar,intermediate,done,75.98,5.5,3.0,3.0
S9275,CT00001,Bilangan Bulat,beginner,done,94.83,1.0,3.0,3.0
S2559,CT00005,Kesebangunan,advanced,done,81.11,1.0,3.0,3.0
S7850,CT00006,Data dan Diagram,intermediate,in-progress,85.0,1.5,2.0,6.0
S2048,CT00005,Kesebangunan,advanced,in-progress,74.98,2.1,0.0,3.0
S2748,CT00006,Data dan Diagram,advanced,in-progress,60.66,1.8,5.0,6.0
S9168,CT00004,Bentuk Aljabar,advanced,in-progress,60.47,1.0,1.0,3.0
S0190,CT00001,Bilangan Bulat,intermediate,done,99.44,4.1,3.0,3.0
S2735,CT00001,Bilangan Bulat,beginner,in-progress,59.32,1.7,1.0,3.0
S3006,CT00006,Data dan Diagram,intermediate,in-progress,58.78,2.8,4.0,6.0
S4659,CT00004,Bentuk Aljabar,intermediate,in-progress,84.65,2.5,1.0,3.0
S1900,CT00002,Bilangan Rasional,beginner,done,66.88,1.0,3.0,3.0
S7735,CT00005,Kesebangunan,intermediate,done,95.7,2.3,3.0,3.0
S1268,CT00005,Kesebangunan,intermediate,in-progress,52.99,1.6,2.0,3.0
S1529,CT00003,Rasio,advanced,in-progress,58.44,1.0,0.0,3.0
S3557,CT00004,Bentuk Aljabar,beginner,in-progress,55.68,2.1,0.0,3.0
S3891,CT00003,Rasio,intermediate,not started,0.0,0.0,0.0,3.0
S8839,CT00006,Data dan Diagram,beginner,in-progress,44.38,1.0,0.0,6.0
S5394,CT00003,Rasio,beginner,done,68.7,7.5,3.0,3.0
S8793,CT00001,Bilangan Bulat,beginner,in-progress,84.16,1.9,2.0,3.0
S8434,CT00005,Kesebangunan,intermediate,in-progress,52.77,2.5,0.0,3.0
S7514,CT00003,Rasio,beginner,not started,0.0,0.0,0.0,3.0
S2613,CT00001,Bilangan Bulat,intermediate,in-progress,58.46,1.0,0.0,3.0
S7042,CT00004,Bentuk Aljabar,beginner,not started,0.0,0.0,0.0,3.0
S9556,CT00003,Rasio,advanced,in-progress,85.0,1.8,0.0,3.0
S6236,CT00006,Data dan Diagram,advanced,in-progress,72.41,2.0,4.0,6.0
S5487,CT00006,Data dan Diagram,advanced,done,94.54,1.8,6.0,6.0
S7100,CT00006,Data dan Diagram,advanced,in-progress,20.34,2.6,4.0,6.0
S9671,CT00005,Kesebangunan,advanced,in-progress,52.73,2.3,1.0,3.0
S0776,CT00003,Rasio,advanced,in-progress,80.61,4.5,0.0,3.0
S8227,CT00004,Bentuk Aljabar,intermediate,done,68.24,4.3,3.0,3.0
S3153,CT00003,Rasio,beginner,not started,0.0,0.0,0.0,3.0
S1586,CT00005,Kesebangunan,beginner,done,85.89,6.0,3.0,3.0
S3944,CT00001,Bilangan Bulat,beginner,done,81.37,2.9,3.0,3.0
S7556,CT00005,Kesebangunan,intermediate,in-progress,41.4,1.9,1.0,3.0
S3074,CT00006,Data dan Diagram,intermediate,done,81.29,3.5,6.0,6.0
S1022,CT00001,Bilangan Bulat,advanced,done,60.0,4.0,3.0,3.0
S3844,CT00006,Data dan Diagram,advanced,in-progress,59.53,1.5,5.0,6.0
S7990,CT00002,Bilangan Rasional,intermediate,done,89.74,4.6,3.0,3.0
S9693,CT00005,Kesebangunan,intermediate,in-progress,64.08,1.6,1.0,3.0
S6874,CT00005,Kesebangunan,advanced,in-progress,61.66,1.5,1.0,3.0
S5676,CT00004,Bentuk Aljabar,beginner,done,91.21,3.0,3.0,3.0
S0162,CT00003,Rasio,intermediate,done,83.75,4.7,3.0,3.0
S4298,CT00001,Bilangan Bulat,beginner,done,85.28,2.3,3.0,3.0
S0996,CT00001,Bilangan Bulat,intermediate,in-progress,60.84,1.5,0.0,3.0
S7630,CT00004,Bentuk Aljabar,beginner,in-progress,44.49,1.8,2.0,3.0
S9468,CT00004,Bentuk Aljabar,advanced,in-progress,55.59,2.2,2.0,3.0
S1017,CT00003,Rasio,intermediate,not started,0.0,0.0,0.0,3.0
S7870,CT00006,Data dan Diagram,beginner,in-progress,53.03,1.6,0.0,6.0
S6440,CT00003,Rasio,beginner,in-progress,49.25,2.0,2.0,3.0
S7893,CT00005,Kesebangunan,intermediate,in-progress,38.38,1.0,1.0,3.0
S6864,CT00006,Data dan Diagram,advanced,in-progress,62.81,1.0,1.0,6.0
S7917,CT00002,Bilangan Rasional,intermediate,in-progress,56.39,1.6,1.0,3.0
S8530,CT00003,Rasio,intermediate,done,88.95,1.9,3.0,3.0
S0879,CT00004,Bentuk Aljabar,intermediate,done,80.52,4.2,3.0,3.0
S9269,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S4888,CT00003,Rasio,intermediate,done,67.54,3.6,3.0,3.0
S4860,CT00001,Bilangan Bulat,intermediate,done,100.0,2.3,3.0,3.0
S6332,CT00002,Bilangan Rasional,intermediate,done,81.26,1.0,3.0,3.0
S8572,CT00005,Kesebangunan,intermediate,in-progress,52.92,1.0,1.0,3.0
S8685,CT00001,Bilangan Bulat,intermediate,in-progress,54.31,1.0,1.0,3.0
S7209,CT00001,Bilangan Bulat,advanced,done,83.48,1.3,3.0,3.0
S5277,CT00002,Bilangan Rasional,advanced,in-progress,48.16,1.3,0.0,3.0
S2063,CT00005,Kesebangunan,intermediate,done,82.08,3.2,3.0,3.0
S0065,CT00004,Bentuk Aljabar,intermediate,done,69.63,2.4,3.0,3.0
S8007,CT00006,Data dan Diagram,beginner,done,92.08,4.5,6.0,6.0
S2569,CT00005,Kesebangunan,advanced,in-progress,64.18,1.1,1.0,3.0
S5464,CT00003,Rasio,intermediate,in-progress,52.52,1.3,1.0,3.0
S2028,CT00001,Bilangan Bulat,beginner,in-progress,54.71,2.9,1.0,3.0
S2696,CT00003,Rasio,intermediate,done,71.33,4.7,3.0,3.0
S9688,CT00004,Bentuk Aljabar,advanced,in-progress,85.0,2.7,0.0,3.0
S5259,CT00003,Rasio,beginner,in-progress,66.45,3.1,1.0,3.0
S5619,CT00005,Kesebangunan,intermediate,in-progress,70.23,3.0,0.0,3.0
S6737,CT00003,Rasio,intermediate,in-progress,50.63,2.9,0.0,3.0
S0392,CT00004,Bentuk Aljabar,beginner,not started,0.0,0.0,0.0,3.0
S5893,CT00004,Bentuk Aljabar,beginner,in-progress,46.37,2.3,1.0,3.0
S3562,CT00004,Bentuk Aljabar,advanced,done,85.7,4.0,3.0,3.0
S6185,CT00005,Kesebangunan,advanced,not started,0.0,0.0,0.0,3.0
S3100,CT00004,Bentuk Aljabar,beginner,done,63.37,3.6,3.0,3.0
S6279,CT00001,Bilangan Bulat,advanced,done,88.16,3.4,3.0,3.0
S8393,CT00004,Bentuk Aljabar,intermediate,done,80.93,7.8,3.0,3.0
S3105,CT00003,Rasio,intermediate,done,78.13,3.7,3.0,3.0
S7216,CT00006,Data dan Diagram,intermediate,in-progress,57.91,2.2,5.0,6.0
S2455,CT00003,Rasio,advanced,in-progress,40.44,2.3,2.0,3.0
S8997,CT00006,Data dan Diagram,intermediate,done,75.23,8.2,6.0,6.0
S2732,CT00003,Rasio,beginner,in-progress,55.81,1.0,1.0,3.0
S8155,CT00005,Kesebangunan,advanced,in-progress,64.07,1.9,2.0,3.0
S9763,CT00003,Rasio,intermediate,not started,0.0,0.0,0.0,3.0
S5057,CT00005,Kesebangunan,beginner,done,86.34,4.8,3.0,3.0
S8111,CT00005,Kesebangunan,intermediate,in-progress,27.77,2.3,2.0,3.0
S3841,CT00004,Bentuk Aljabar,intermediate,in-progress,61.17,2.3,1.0,3.0
S1029,CT00001,Bilangan Bulat,advanced,not started,0.0,0.0,0.0,3.0
S7386,CT00006,Data dan Diagram,intermediate,done,76.94,6.8,6.0,6.0
S0503,CT00004,Bentuk Aljabar,beginner,in-progress,49.4,1.1,0.0,3.0
S6911,CT00004,Bentuk Aljabar,intermediate,done,77.76,3.6,3.0,3.0
S9063,CT00005,Kesebangunan,intermediate,in-progress,85.0,2.8,0.0,3.0
S6939,CT00005,Kesebangunan,beginner,done,72.62,3.7,3.0,3.0
S4489,CT00006,Data dan Diagram,intermediate,in-progress,46.63,3.4,4.0,6.0
S0207,CT00003,Rasio,advanced,done,98.34,2.6,3.0,3.0
S5135,CT00003,Rasio,beginner,in-progress,25.38,1.4,1.0,3.0
S5978,CT00004,Bentuk Aljabar,intermediate,in-progress,65.16,3.0,1.0,3.0
S7722,CT00002,Bilangan Rasional,intermediate,done,75.83,6.0,3.0,3.0
S7036,CT00002,Bilangan Rasional,beginner,done,74.06,3.2,3.0,3.0
S1485,CT00003,Rasio,intermediate,done,93.71,2.5,3.0,3.0
S7859,CT00002,Bilangan Rasional,intermediate,done,86.19,1.0,3.0,3.0
S0864,CT00003,Rasio,advanced,in-progress,40.51,1.8,0.0,3.0
S2791,CT00005,Kesebangunan,beginner,done,62.86,1.5,3.0,3.0
S7409,CT00004,Bentuk Aljabar,intermediate,not started,0.0,0.0,0.0,3.0
S8756,CT00001,Bilangan Bulat,beginner,done,87.84,5.7,3.0,3.0
S5117,CT00004,Bentuk Aljabar,advanced,in-progress,59.87,2.3,2.0,3.0
S6020,CT00003,Rasio,intermediate,in-progress,64.57,2.0,2.0,3.0
S1758,CT00003,Rasio,intermediate,in-progress,73.37,1.6,0.0,3.0
S7575,CT00004,Bentuk Aljabar,beginner,in-progress,52.88,1.1,1.0,3.0
S6375,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S6893,CT00003,Rasio,beginner,in-progress,66.98,2.5,0.0,3.0
S1679,CT00002,Bilangan Rasional,advanced,not started,0.0,0.0,0.0,3.0
S3243,CT00002,Bilangan Rasional,intermediate,in-progress,27.85,2.9,0.0,3.0
S4637,CT00003,Rasio,intermediate,not started,0.0,0.0,0.0,3.0
S1060,CT00003,Rasio,intermediate,not started,0.0,0.0,0.0,3.0
S6669,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S9915,CT00002,Bilangan Rasional,intermediate,in-progress,56.87,1.2,1.0,3.0
S3158,CT00003,Rasio,intermediate,done,80.14,4.2,3.0,3.0
S5916,CT00003,Rasio,intermediate,done,85.54,5.6,3.0,3.0
S9790,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S2694,CT00006,Data dan Diagram,intermediate,done,77.29,4.6,6.0,6.0
S3628,CT00004,Bentuk Aljabar,beginner,done,79.3,1.0,3.0,3.0
S9556,CT00006,Data dan Diagram,advanced,in-progress,49.68,2.4,3.0,6.0
S5451,CT00001,Bilangan Bulat,intermediate,done,84.6,4.5,3.0,3.0
S1664,CT00002,Bilangan Rasional,intermediate,in-progress,54.31,1.6,0.0,3.0
S9722,CT00004,Bentuk Aljabar,advanced,in-progress,52.27,2.3,1.0,3.0
S5593,CT00001,Bilangan Bulat,beginner,in-progress,41.94,1.3,1.0,3.0
S7393,CT00003,Rasio,advanced,not started,0.0,0.0,0.0,3.0
S1307,CT00003,Rasio,advanced,done,89.33,7.7,3.0,3.0
S6777,CT00004,Bentuk Aljabar,advanced,in-progress,52.79,1.8,1.0,3.0
S5865,CT00006,Data dan Diagram,advanced,in-progress,63.73,1.6,0.0,6.0
S9475,CT00003,Rasio,intermediate,in-progress,53.33,1.8,0.0,3.0
S7527,CT00005,Kesebangunan,beginner,done,100.0,2.7,3.0,3.0
S8902,CT00004,Bentuk Aljabar,intermediate,done,74.14,5.6,3.0,3.0
S5576,CT00001,Bilangan Bulat,intermediate,done,100.0,4.4,3.0,3.0
S5531,CT00004,Bentuk Aljabar,beginner,in-progress,29.36,2.4,0.0,3.0
S4414,CT00002,Bilangan Rasional,intermediate,in-progress,40.98,2.7,0.0,3.0
S3749,CT00006,Data dan Diagram,intermediate,in-progress,52.95,2.5,2.0,6.0
S0664,CT00006,Data dan Diagram,advanced,not started,0.0,0.0,0.0,6.0
S1999,CT00004,Bentuk Aljabar,advanced,in-progress,48.02,2.0,1.0,3.0
S7995,CT00003,Rasio,advanced,in-progress,32.63,1.6,2.0,3.0
S1496,CT00003,Rasio,intermediate,in-progress,33.04,2.3,0.0,3.0
S3305,CT00005,Kesebangunan,advanced,done,60.0,5.9,3.0,3.0
S3764,CT00005,Kesebangunan,advanced,done,81.32,2.9,3.0,3.0
S5233,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S1854,CT00005,Kesebangunan,beginner,not started,0.0,0.0,0.0,3.0
S6586,CT00001,Bilangan Bulat,advanced,not started,0.0,0.0,0.0,3.0
S1292,CT00005,Kesebangunan,advanced,done,89.03,4.6,3.0,3.0
S3582,CT00001,Bilangan Bulat,intermediate,done,67.14,5.2,3.0,3.0
S7555,CT00005,Kesebangunan,beginner,done,93.73,3.7,3.0,3.0
S7281,CT00006,Data dan Diagram,intermediate,in-progress,53.99,2.1,5.0,6.0
S1637,CT00006,Data dan Diagram,beginner,done,79.89,1.5,6.0,6.0
S3697,CT00001,Bilangan Bulat,advanced,in-progress,69.63,2.4,2.0,3.0
S0699,CT00004,Bentuk Aljabar,advanced,done,83.98,3.1,3.0,3.0
S4738,CT00006,Data dan Diagram,beginner,done,81.34,1.0,6.0,6.0
S0855,CT00004,Bentuk Aljabar,intermediate,done,74.7,3.8,3.0,3.0
S8165,CT00003,Rasio,beginner,in-progress,69.52,1.1,2.0,3.0
S5856,CT00001,Bilangan Bulat,intermediate,done,78.07,1.3,3.0,3.0
S7393,CT00006,Data dan Diagram,intermediate,in-progress,65.47,2.7,5.0,6.0
S6529,CT00002,Bilangan Rasional,intermediate,not started,0.0,0.0,0.0,3.0
S5250,CT00003,Rasio,intermediate,not started,0.0,0.0,0.0,3.0
S5173,CT00004,Bentuk Aljabar,beginner,in-progress,85.0,1.7,2.0,3.0
S1708,CT00006,Data dan Diagram,intermediate,in-progress,47.9,1.0,3.0,6.0
S5792,CT00001,Bilangan Bulat,beginner,not started,0.0,0.0,0.0,3.0
S9926,CT00005,Kesebangunan,intermediate,in-progress,44.47,3.1,0.0,3.0
S5536,CT00002,Bilangan Rasional,beginner,in-progress,75.39,1.0,2.0,3.0
S4932,CT00004,Bentuk Aljabar,intermediate,in-progress,39.73,2.4,1.0,3.0
S3511,CT00003,Rasio,advanced,in-progress,52.31,2.7,1.0,3.0
S0203,CT00001,Bilangan Bulat,advanced,not started,0.0,0.0,0.0,3.0
S4219,CT00002,Bilangan Rasional,advanced,not started,0.0,0.0,0.0,3.0
S8959,CT00001,Bilangan Bulat,advanced,not started,0.0,0.0,0.0,3.0
S4390,CT00006,Data dan Diagram,beginner,done,60.0,4.7,6.0,6.0
S2328,CT00005,Kesebangunan,beginner,in-progress,52.71,1.4,1.0,3.0
S8005,CT00003,Rasio,intermediate,done,69.62,1.0,3.0,3.0
S2932,CT00001,Bilangan Bulat,advanced,in-progress,52.45,2.4,2.0,3.0
S7778,CT00004,Bentuk Aljabar,advanced,done,73.3,7.5,3.0,3.0
S0198,CT00006,Data dan Diagram,beginner,in-progress,67.72,2.0,0.0,6.0
S7126,CT00006,Data dan Diagram,intermediate,not started,0.0,0.0,0.0,6.0
S1931,CT00003,Rasio,beginner,not started,0.0,0.0,0.0,3.0
S6288,CT00006,Data dan Diagram,intermediate,in-progress,61.21,2.5,2.0,6.0
S8801,CT00004,Bentuk Aljabar,intermediate,done,92.46,2.8,3.0,3.0
S9340,CT00001,Bilangan Bulat,beginner,not started,0.0,0.0,0.0,3.0
S4283,CT00003,Rasio,intermediate,in-progress,70.87,1.7,1.0,3.0
S2512,CT00006,Data dan Diagram,intermediate,done,75.68,6.3,6.0,6.0
S9987,CT00006,Data dan Diagram,intermediate,in-progress,47.74,2.0,2.0,6.0
S0660,CT00004,Bentuk Aljabar,beginner,not started,0.0,0.0,0.0,3.0
S2812,CT00005,Kesebangunan,advanced,not started,0.0,0.0,0.0,3.0
S7099,CT00005,Kesebangunan,intermediate,not started,0.0,0.0,0.0,3.0
S6547,CT00006,Data dan Diagram,advanced,done,86.24,6.3,6.0,6.0
S9562,CT00001,Bilangan Bulat,advanced,done,85.32,3.9,3.0,3.0
S1987,CT00003,Rasio,beginner,done,83.26,5.7,3.0,3.0
S8339,CT00006,Data dan Diagram,beginner,done,93.91,1.0,6.0,6.0
S2912,CT00002,Bilangan Rasional,intermediate,in-progress,26.65,3.3,2.0,3.0
S1735,CT00003,Rasio,beginner,in-progress,68.15,2.6,0.0,3.0
S1844,CT00005,Kesebangunan,advanced,in-progress,30.9,1.5,0.0,3.0
S8681,CT00006,Data dan Diagram,intermediate,done,72.46,4.1,6.0,6.0
