id,chapter_taken_id,subchapter_id,title,type,correct_answer,created_at,updated_at
AS00001,CHT01062,SCT00003,Assessment 1,exam,20.0,2024-01-21 16:23:13,2024-01-21 17:04:13
AS00002,CHT00314,SCT00009,Assessment 2,quiz,18.0,2024-05-01 01:35:48,2024-05-01 01:42:48
AS00003,CHT00935,SCT00007,Assessment 3,exam,24.0,2024-10-22 01:42:25,2024-10-22 02:08:25
AS00004,CHT00015,SCT00020,Assessment 4,placement,6.0,2024-05-05 04:51:33,2024-05-05 05:07:33
AS00005,CHT00800,SCT00004,Assessment 5,placement,19.0,2024-02-13 17:29:16,2024-02-13 18:22:16
AS00006,CHT00799,SCT00011,Assessment 6,quiz,6.0,2024-04-12 20:40:46,2024-04-12 20:52:46
AS00007,CHT00442,SCT00012,Assessment 7,exam,19.0,2024-07-24 14:36:40,2024-07-24 14:48:40
AS00008,CHT00744,SCT00020,Assessment 8,placement,19.0,2024-04-28 20:03:34,2024-04-28 20:53:34
AS00009,CHT00756,SCT00019,Assessment 9,quiz,24.0,2025-03-14 15:32:24,2025-03-14 16:24:24
AS00010,CHT00203,SCT00004,Assessment 10,placement,20.0,2024-02-13 18:55:59,2024-02-13 19:37:59
AS00011,CHT00636,SCT00021,Assessment 11,exam,8.0,2025-02-07 14:27:11,2025-02-07 15:11:11
AS00012,CHT00432,SCT00012,Assessment 12,placement,21.0,2024-12-16 20:33:57,2024-12-16 20:53:57
AS00013,CHT00640,SCT00018,Assessment 13,exam,21.0,2025-02-14 23:08:49,2025-02-14 23:43:49
AS00014,CHT00740,SCT00001,Assessment 14,exam,6.0,2025-03-11 22:40:35,2025-03-11 23:19:35
AS00015,CHT00797,SCT00021,Assessment 15,exam,14.0,2024-07-14 05:44:42,2024-07-14 05:57:42
AS00016,CHT00469,SCT00003,Assessment 16,exam,10.0,2024-05-14 03:58:20,2024-05-14 04:35:20
AS00017,CHT00490,SCT00009,Assessment 17,placement,15.0,2024-02-05 14:47:48,2024-02-05 15:05:48
AS00018,CHT00952,SCT00005,Assessment 18,placement,11.0,2024-07-18 05:36:38,2024-07-18 06:22:38
AS00019,CHT01029,SCT00007,Assessment 19,exam,24.0,2024-12-03 04:14:30,2024-12-03 05:00:30
AS00020,CHT00304,SCT00008,Assessment 20,placement,23.0,2024-04-26 06:18:24,2024-04-26 07:12:24
AS00021,CHT00259,SCT00016,Assessment 21,quiz,7.0,2025-01-08 13:17:41,2025-01-08 13:50:41
AS00022,CHT00627,SCT00017,Assessment 22,quiz,23.0,2024-06-07 18:04:36,2024-06-07 18:23:36
AS00023,CHT00496,SCT00007,Assessment 23,placement,6.0,2024-10-17 16:35:33,2024-10-17 16:43:33
AS00024,CHT00160,SCT00015,Assessment 24,placement,,2024-08-24 23:30:35,2024-08-25 00:30:35
AS00025,CHT00372,SCT00014,Assessment 25,quiz_test,22.0,2025-02-05 00:23:33,2025-02-05 00:39:33
AS00026,CHT00733,SCT00015,Assessment 26,quiz,22.0,2024-09-21 09:13:31,2024-09-21 09:54:31
AS00027,CHT00582,SCT00014,Assessment 27,placement,17.0,2024-08-15 05:50:32,2024-08-15 06:13:32
AS00028,CHT00032,SCT00009,Assessment 28,quiz,16.0,2024-02-28 00:58:02,2024-02-28 01:39:02
AS00029,CHT00330,SCT00018,Assessment 29,placement,8.0,2024-07-29 11:04:31,2024-07-29 11:30:31
AS00030,CHT00514,SCT00020,Assessment 30,quiz,7.0,2025-01-09 01:59:02,2025-01-09 02:17:02
AS00031,CHT00009,SCT00020,Assessment 31,quiz,20.0,2025-01-13 16:43:57,2025-01-13 17:37:57
AS00032,CHT00855,SCT00021,Assessment 32,quiz,8.0,2024-03-30 23:37:40,2024-03-31 00:14:40
AS00033,CHT00135,SCT00006,Assessment 33,exam,16.0,2025-03-08 12:04:15,2025-03-08 12:51:15
AS00034,CHT00758,SCT00008,Assessment 34,exam,10.0,2024-01-26 08:22:53,2024-01-26 09:11:53
AS00035,CHT00731,SCT00011,Assessment 35,placement,6.0,2024-07-07 14:52:42,2024-07-07 14:59:42
AS00036,CHT00546,SCT00019,Assessment 36,quiz_test,8.0,2024-04-09 12:21:17,2024-04-09 13:14:17
AS00037,CHT00047,SCT00019,Assessment 37,placement,7.0,2024-08-22 19:40:38,2024-08-22 20:16:38
AS00038,CHT00175,SCT00009,Assessment 38,exam,21.0,2024-10-29 19:44:57,2024-10-29 19:51:57
AS00039,CHT00748,SCT00011,Assessment 39,placement,23.0,2024-01-09 18:48:51,2024-01-09 19:01:51
