id,chapter_id,name,created_at,updated_at
SCT00001,CT00001,Memahami Bilangan Bulat,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00002,CT00001,Operasi Hitung Bilangan Bulat,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00003,CT00001,Faktor Bilangan Bulat,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00004,CT00002,Di Antara Dua Bilangan Bulat,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00005,CT00002,Membandingkan Bilangan Rasional,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00006,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00007,CT00003,Konsep Rasio,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00008,CT00003,Skala,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00009,CT00003,Laju Perubahan Satuan,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00010,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00011,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00012,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00013,CT00005,Hubungan Antar Sudut,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00014,CT00005,Arti Kesebangunan,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00015,CT00005,Kesebangunan pada Segitiga,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00016,CT00006,Investigasi Statistika,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00017,CT00006,Macam-Macam Data,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00018,CT00006,Diagram dalam Statistika,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00019,CT00006,Diagram Batang,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00020,CT00006,Diagram Lingkaran,2026-01-01 00:00:00,2026-01-01 00:00:00
SCT00021,CT00006,Memilih Diagram yang Tepat,2026-01-01 00:00:00,2026-01-01 00:00:00
