,user_progress_id,user_id,subchapter_id,chapter_taken_id,current_level,status_subchapter,user_progress_created_at,user_progress_updated_at,chapter_id,name,subchapter_created_at,subchapter_updated_at
0,UP00001,S0591,SCT00017,CHT00802,beginner,not started,2026-04-19 01:10:42,2026-04-20 01:27:42,CT00006,Macam-Macam Data,2026-01-01,2026-01-01
1,UP00002,S0655,SCT00020,CHT00317,beginner,done,2026-04-22 08:32:30,2026-04-23 08:49:30,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
2,UP00002,S0655,SCT00020,CHT00317,beginner,done,2026-04-24 17:35:18,2026-04-25 17:52:18,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
3,UP00003,S0617,SCT00008,CHT00533,intermediate,not started,2026-04-25 18:53:39,2026-04-26 19:10:39,CT00003,Skala,2026-01-01,2026-01-01
4,UP00004,S0966,SCT00001,CHT00638,intermediate,done,2026-04-19 00:35:00,2026-04-20 00:52:00,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
5,UP00005,S0900,SCT00013,CHT00831,intermediate,done,2026-04-15 02:46:08,2026-04-16 03:03:08,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
6,UP00006,S0337,SCT00012,CHT00531,advanced,done,2026-04-27 20:00:37,2026-04-27 23:18:52,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01,2026-01-01
7,UP00007,S0759,SCT00001,CHT00839,beginner,in-progress,2026-04-27 18:10:29,2026-04-27 23:18:52,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
8,UP00008,S0360,SCT00017,CHT00559,beginner,done,2026-04-22 05:12:09,2026-04-23 05:29:09,CT00006,Macam-Macam Data,2026-01-01,2026-01-01
9,UP00009,S0264,SCT00014,CHT00367,beginner,done,2026-04-27 17:08:35,2026-04-27 23:18:52,CT00005,Arti Kesebangunan,2026-01-01,2026-01-01
10,UP00010,S0774,SCT00018,CHT01183,advanced,not started,2026-04-26 09:58:54,2026-04-27 10:15:54,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
11,UP00011,S0423,SCT00017,CHT00440,intermediate,in-progress,2026-04-14 23:18:53,2026-04-15 23:35:53,CT00006,Macam-Macam Data,2026-01-01,2026-01-01
12,UP00012,S0072,SCT00001,CHT00701,advanced,in-progress,2026-04-20 05:19:43,2026-04-21 05:36:43,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
13,UP00013,S0052,SCT00011,CHT00617,beginner,not started,2026-04-20 01:51:39,2026-04-21 02:08:39,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
14,UP00014,S0165,SCT00008,CHT00279,beginner,done,2026-04-24 18:59:23,2026-04-25 19:16:23,CT00003,Skala,2026-01-01,2026-01-01
15,UP00015,S0133,SCT00021,CHT00173,beginner,in-progress,2026-04-18 14:18:24,2026-04-19 14:35:24,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
16,UP00016,S0816,SCT00006,CHT00554,beginner,not started,2026-03-24 14:22:43,2026-03-25 14:39:43,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
17,UP00017,S0067,SCT00012,CHT01104,beginner,in-progress,2026-04-25 14:05:21,2026-04-26 14:22:21,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01,2026-01-01
18,UP00018,S0480,SCT00021,CHT00272,intermediate,in-progress,2026-04-13 21:51:33,2026-04-14 22:08:33,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
19,UP00019,S0769,SCT00019,CHT00885,advanced,done,2026-04-27 18:47:11,2026-04-27 23:18:52,CT00006,Diagram Batang,2026-01-01,2026-01-01
20,UP00020,S0722,SCT00007,CHT00275,beginner,done,2026-04-21 11:32:16,2026-04-22 11:49:16,CT00003,Konsep Rasio,2026-01-01,2026-01-01
21,UP00021,S0760,SCT00008,CHT00958,advanced,done,2026-03-22 18:05:44,2026-03-23 18:22:44,CT00003,Skala,2026-01-01,2026-01-01
22,UP00022,S0433,SCT00018,CHT00088,advanced,in-progress,2026-04-17 14:56:13,2026-04-18 15:13:13,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
