user_id,chapter_id,name,current_level,status_chapter,avg_score,total_attempts,total_subchapters_done,total_subchapter
S0591,CT00006,Data dan Diagram,beginner,not started,68.96837338687517,5.0,1.0,6
S0655,CT00003,Rasio,beginner,done,65.78740671322339,3.0,2.0,3
S0655,CT00003,Rasio,beginner,done,83.87291088980557,5.0,2.0,3
S0655,CT00003,Rasio,beginner,done,94.84725255271836,4.0,1.0,3
S0655,CT00003,Rasio,beginner,done,78.54550584217824,2.0,3.0,3
S0617,CT00004,Bentuk Aljabar,intermediate,not started,80.15057620049056,2.0,1.0,3
S0966,CT00005,Kesebangunan,intermediate,done,61.450047976753524,4.0,3.0,3
S0900,CT00001,Bilangan Bulat,intermediate,done,93.12211236065143,2.0,1.0,3
S0337,CT00004,Bentuk Aljabar,advanced,done,60.42,8.0,1.0,3
S0759,CT00004,Bentuk Aljabar,beginner,in-progress,91.12958936155452,2.0,2.0,3
S0360,CT00004,Bentuk Aljabar,beginner,done,83.28042714934998,2.0,1.0,3
S0264,CT00006,Data dan Diagram,beginner,done,94.59244699859025,5.0,2.0,6
S0774,CT00003,Rasio,advanced,not started,60.75529776303958,3.0,2.0,3
S0423,CT00004,Bentuk Aljabar,intermediate,in-progress,72.59,1.0,1.0,3
S0072,CT00002,Bilangan Rasional,advanced,in-progress,70.40842511352974,5.0,2.0,3
S0052,CT00002,Bilangan Rasional,beginner,not started,96.29,1.0,3.0,3
S0165,CT00004,Bentuk Aljabar,beginner,done,81.7095115217064,5.0,1.0,3
S0133,CT00002,Bilangan Rasional,beginner,in-progress,67.68350981349575,3.0,2.0,3
S0816,CT00004,Bentuk Aljabar,beginner,not started,93.2733290539615,2.0,3.0,3
S0067,CT00004,Bentuk Aljabar,beginner,in-progress,69.075,2.0,3.0,3
S0480,CT00004,Bentuk Aljabar,intermediate,in-progress,0.2,1.0,1.0,3
S0769,CT00001,Bilangan Bulat,advanced,done,88.69024357322668,4.0,3.0,3
S0722,CT00005,Kesebangunan,beginner,done,73.46300195292471,4.0,1.0,3
S0760,CT00002,Bilangan Rasional,advanced,done,71.82233708809206,5.0,1.0,3
S0433,CT00001,Bilangan Bulat,advanced,in-progress,57.59,1.0,1.0,3
S0767,CT00006,Data dan Diagram,advanced,in-progress,70.290390456151,2.0,3.0,6
S0109,CT00003,Rasio,advanced,in-progress,91.33532314964842,1.0,1.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,65.73234907448125,4.0,3.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,81.40922367643205,2.0,3.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,94.7402367896296,3.0,3.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,78.06779633540125,5.0,2.0,3
S0330,CT00005,Kesebangunan,advanced,not started,71.09483837452846,3.0,1.0,3
S0585,CT00002,Bilangan Rasional,beginner,in-progress,89.48951110550178,5.0,2.0,3
S0488,CT00002,Bilangan Rasional,intermediate,done,80.0547329795989,2.0,1.0,3
S0634,CT00001,Bilangan Bulat,beginner,not started,70.05,1.0,2.0,3
S0498,CT00002,Bilangan Rasional,beginner,done,84.31883592138627,3.0,3.0,3
S0299,CT00005,Kesebangunan,advanced,done,85.49372225616152,2.0,1.0,3
S0047,CT00004,Bentuk Aljabar,advanced,done,40.36,1.0,1.0,3
S0769,CT00005,Kesebangunan,beginner,in-progress,61.529504277304056,4.0,2.0,3
S0564,CT00004,Bentuk Aljabar,beginner,in-progress,93.25038006975538,2.0,2.0,3
S0617,CT00002,Bilangan Rasional,advanced,in-progress,89.93015879470936,5.0,2.0,3
