user_id,chapter_id,name,current_level,status_chapter,avg_score,total_attempts,total_subchapters_done,total_subchapter
S0591,CT00006,Data dan Diagram,beginner,not started,0.0,0.0,0.0,6
S0655,CT00003,Rasio,beginner,done,0.0,0.0,0.0,3
S0655,CT00003,Rasio,beginner,done,0.0,0.0,0.0,3
S0655,CT00003,Rasio,beginner,done,0.0,0.0,0.0,3
S0655,CT00003,Rasio,beginner,done,0.0,0.0,0.0,3
S0617,CT00004,Bentuk Aljabar,intermediate,not started,0.0,0.0,0.0,3
S0966,CT00005,Kesebangunan,intermediate,done,0.0,0.0,0.0,3
S0900,CT00001,Bilangan Bulat,intermediate,done,0.0,0.0,0.0,3
S0337,CT00004,Bentuk Aljabar,advanced,done,60.42,8.0,1.0,3
S0759,CT00004,Bentuk Aljabar,beginner,in-progress,0.0,0.0,0.0,3
S0360,CT00004,Bentuk Aljabar,beginner,done,0.0,0.0,0.0,3
S0264,CT00006,Data dan Diagram,beginner,done,0.0,0.0,0.0,6
S0774,CT00003,Rasio,advanced,not started,0.0,0.0,0.0,3
S0423,CT00004,Bentuk Aljabar,intermediate,in-progress,72.59,1.0,0.0,3
S0072,CT00002,Bilangan Rasional,advanced,in-progress,0.0,0.0,0.0,3
S0052,CT00002,Bilangan Rasional,beginner,not started,96.29,1.0,0.0,3
S0165,CT00004,Bentuk Aljabar,beginner,done,0.0,0.0,0.0,3
S0133,CT00002,Bilangan Rasional,beginner,in-progress,0.0,0.0,0.0,3
S0816,CT00004,Bentuk Aljabar,beginner,not started,0.0,0.0,0.0,3
S0067,CT00004,Bentuk Aljabar,beginner,in-progress,69.075,2.0,0.0,3
S0480,CT00004,Bentuk Aljabar,intermediate,in-progress,0.2,1.0,1.0,3
S0769,CT00001,Bilangan Bulat,advanced,done,0.0,0.0,0.0,3
S0722,CT00005,Kesebangunan,beginner,done,0.0,0.0,0.0,3
S0760,CT00002,Bilangan Rasional,advanced,done,0.0,0.0,0.0,3
S0433,CT00001,Bilangan Bulat,advanced,in-progress,57.59,1.0,0.0,3
S0767,CT00006,Data dan Diagram,advanced,in-progress,0.0,0.0,0.0,6
S0109,CT00003,Rasio,advanced,in-progress,0.0,0.0,0.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,0.0,0.0,0.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,0.0,0.0,0.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,0.0,0.0,0.0,3
S0422,CT00004,Bentuk Aljabar,beginner,done,0.0,0.0,0.0,3
S0330,CT00005,Kesebangunan,advanced,not started,0.0,0.0,0.0,3
S0585,CT00002,Bilangan Rasional,beginner,in-progress,0.0,0.0,0.0,3
S0488,CT00002,Bilangan Rasional,intermediate,done,0.0,0.0,0.0,3
S0634,CT00001,Bilangan Bulat,beginner,not started,70.05,1.0,0.0,3
S0498,CT00002,Bilangan Rasional,beginner,done,0.0,0.0,0.0,3
S0299,CT00005,Kesebangunan,advanced,done,0.0,0.0,1.0,3
S0047,CT00004,Bentuk Aljabar,advanced,done,40.36,1.0,0.0,3
S0769,CT00005,Kesebangunan,beginner,in-progress,0.0,0.0,0.0,3
S0564,CT00004,Bentuk Aljabar,beginner,in-progress,0.0,0.0,0.0,3
S0617,CT00002,Bilangan Rasional,advanced,in-progress,0.0,0.0,0.0,3
S0287,CT00006,Data dan Diagram,beginner,done,0.0,0.0,1.0,6
S0941,CT00002,Bilangan Rasional,advanced,in-progress,0.0,0.0,0.0,3
S0460,CT00003,Rasio,beginner,not started,0.0,0.0,0.0,3
S0180,CT00006,Data dan Diagram,advanced,in-progress,56.55,1.0,0.0,6
S0664,CT00004,Bentuk Aljabar,intermediate,DONE,0.0,0.0,1.0,3
